Timestamp,Q1. Have you invested in the Nepal Stock Exchange (NEPSE)?,Q2. How long have you been investing?,Q3. Age group,Q4. Gender,Q5. Education level,Q6. Occupation,Q7. Monthly income (NPR),Q8. Approximate portfolio size (NPR),Q9. How often do you trade?,Q10. Which sectors do you invest in?,Q11. Main source of investment information,Q12. I lack sufficient knowledge about fundamental/technical analysis,"Q13. I find it hard to access reliable, timely market information",Q14. Market volatility makes it difficult to plan my investments,"Q15. I have faced issues with my broker/TMS platform (technical glitches, delays)",Q16. I don't fully understand regulatory/tax procedures related to investing,"Q17: I struggle to control my emotions (fear, greed, panic) when trading","Q18: I have limited capital, which restricts my investment options",Q19: I have been misled by rumors or unreliable tips,Q20: I find IPO/rights share allotment processes confusing,Q21: I lack access to mentorship or expert guidance,Q22. What is the single biggest challenge you've faced as a new investor?,Q23. What would have helped you the most when you started investing?,"Q24. Overall, has your investment experience been profitable so far?",Q25.How would you rate your confidence in making investment decisions now vs. when you started?
7/19/2026 12:06:37,Yes,Less than 1 year,18–24,Female,Bachelor's,Student,Prefer not to say,"Below 50,000",Weekly,Insurance,Friends & family,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Learning how to choose the right investments,Simple educational resources and beginner-friendly guidance.,Maybe,Same
7/19/2026 12:11:22,Yes,Less than 1 year,18–24,Female,Bachelor's,Student,Prefer not to say,"Below 50,000",Rarely,Hydropower,ShareSansar/MeroLagani,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not having enough knowledge to make confident investment decisions qnd understanding when to buy or sell,Better information about investment risks and strategies would have helped the most.,Maybe,Same
7/19/2026 12:38:01,No,Less than 1 year,18–24,Male,High school,Other,"Above 100,000","Above 1,000,000",Rarely,Other,Other,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,i don’t know how to invest.,tips from the investors,Maybe,Same
7/19/2026 13:24:11,Yes,Less than 1 year,18–24,Male,High school,Student,Prefer not to say,"Below 50,000",Rarely,Other,Other,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Nothing,Nothing ,No,Lower
8/13/2026 19:09:19,Yes,3–5 years,18–24,Male,Bachelor's,Salaried employee,"25,000–50,000","200,000–500,000",Weekly,Hydropower,Social media,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Fake news,Mentorship ,Yes,Higher
8/13/2026 20:26:03,Yes,Less than 1 year,18–24,Female,High school,Student,"Below 25,000","Below 50,000",Rarely,Hydropower,Friends & family,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,New and unfamiliar termology being used in news and such,Proper guidance ,Maybe,Same
8/13/2026 21:20:54,No,Less than 1 year,18–24,Male,Bachelor's,Unemployed,Prefer not to say,"Below 50,000",Rarely,Hydropower,Friends & family,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree, a new investor is knowing when to buy or sell without letting emotions influence my decisions,"Clear, beginner-friendly guidance on where to invest, how to manage risk, and how to make informed decisions without feeling overwhelmed",Maybe,Same
8/14/2026 12:05:09,Yes,Less than 1 year,18–24,Female,Bachelor's,Student,Prefer not to say,"Below 50,000",Weekly,Banking,Financial news,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,No knowledge ,Social media ,Maybe,Lower
8/14/2026 15:13:37,Yes,Less than 1 year,18–24,Male,Bachelor's,Student,Prefer not to say,"Below 50,000",Weekly,Hydropower,Financial news,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,To know about the trade portfolio,Youtube,Yes,Higher
8/14/2026 17:19:03,Yes,Less than 1 year,18–24,Male,Bachelor's,Student,"Below 25,000","50,000–200,000",Monthly,Banking,Friends & family,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Improper management and neglience of banking and trader,Guidance,Yes,Much lower
