response_id,age_group,gender,education,occupation,monthly_income,years_investing,portfolio_size,trade_frequency,sectors_invested,info_source,lacks_knowledge,hard_to_access_info,volatility_difficulty,broker_platform_issues,regulatory_confusion,emotional_control,limited_capital,misled_by_rumors,ipo_process_confusing,lacks_mentorship,profitable_experience,confidence_change
1,55+,Female,Bachelor's,Student,"Below 25,000",1-3 years,"Below 50,000",A few times a year,"Banking, Insurance, Hotels",Financial news,4,4,4,2,2,3,3,4,3,3,No,Higher
2,25-34,Male,High school,Salaried employee,"Below 25,000",<1 year,"Below 50,000",Rarely,"Insurance, Hotels",Financial news,3,5,4,3,5,3,4,2,3,4,Not sure,Higher
3,45-54,Male,Master's,Student,"Below 25,000",5+ years,"Below 50,000",Weekly,Insurance,Friends & family,1,3,2,2,3,3,1,2,4,3,Break-even,Much higher
4,45-54,Female,Bachelor's,Student,"25,000-50,000",3-5 years,"200,000-500,000",A few times a year,"Hydropower, Hotels",ShareSansar/MeroLagani,3,3,2,2,3,2,3,3,5,2,Break-even,Lower
5,25-34,Male,Master's,Salaried employee,"50,000-100,000",1-3 years,"500,000-1,000,000",Monthly,"Microfinance, Insurance",Social media,3,4,5,4,5,3,3,4,3,5,Break-even,Same
6,18-24,Male,Bachelor's,Salaried employee,"Below 25,000",<1 year,"Below 50,000",Weekly,"Microfinance, Manufacturing, Hotels",TMS/broker app,4,4,5,3,4,5,5,2,3,4,No,Same
7,25-34,Prefer not to say,Bachelor's,Business owner,"50,000-100,000",3-5 years,"Below 50,000",Monthly,Banking,Social media,4,3,2,3,3,3,4,3,4,4,Yes,Higher
8,18-24,Male,Other,Salaried employee,"25,000-50,000",3-5 years,"Above 1,000,000",Rarely,Hydropower,Social media,4,3,3,4,4,4,3,3,3,1,No,Much higher
9,18-24,Male,Bachelor's,Salaried employee,"50,000-100,000",<1 year,"200,000-500,000",Weekly,"Banking, Hotels, Hydropower",Social media,2,3,5,5,4,4,5,4,4,4,Yes,Much higher
10,55+,Male,Bachelor's,Salaried employee,Prefer not to say,3-5 years,"Below 50,000",Weekly,"Manufacturing, Microfinance, Hydropower",Financial news,3,3,2,3,3,2,3,3,4,4,No,Same
11,35-44,Female,Master's,Salaried employee,"50,000-100,000",3-5 years,"200,000-500,000",Monthly,"Hydropower, Banking",Friends & family,1,5,2,4,3,3,3,1,4,2,Yes,Much higher
12,45-54,Male,Bachelor's,Salaried employee,"Below 25,000",1-3 years,"Below 50,000",Rarely,"Hydropower, Hotels",Friends & family,3,5,5,3,3,4,4,5,5,4,No,Higher
13,25-34,Male,High school,Salaried employee,"Below 25,000",<1 year,"Below 50,000",Weekly,"Banking, Insurance",Financial advisor,3,4,2,3,5,5,4,4,4,5,Not sure,Higher
14,18-24,Female,High school,Salaried employee,"Above 100,000",<1 year,"50,000-200,000",Monthly,Hydropower,Friends & family,4,4,4,4,5,4,3,4,5,5,Not sure,Higher
